排名,股票代码,股票名称,最新收盘价,20日前收盘价,20日涨幅%,交易所,申万二级行业
91,688170,德龙激光,54.17,38.45,40.88,SH,专用机械
92,300167,ST迪威迅,6.81,4.84,40.7,SZ,软件服务
93,534,万泽股份,41.24,29.36,40.46,SZ,
94,2478,常宝股份,13.87,9.89,40.24,SZ,
95,600299,安迪苏,13.5,9.63,40.13,SH,饲料
96,603269,海鸥股份,16.94,12.09,40.12,SH,机械基件
97,3035,南网能源,8.71,6.22,40.03,SZ,
98,600744,华银电力,9.08,6.5,39.69,SH,火力发电
99,300317,珈伟新能,5.71,4.09,39.61,SZ,电气设备
100,605060,联德股份,60.83,43.66,39.33,SH,机械基件
101,300301,ST长方,3.16,2.27,39.21,SZ,半导体
102,301281,科源制药,43.78,31.47,39.12,SZ,化学制药
103,962,东方钽业,53.78,38.68,39.04,SZ,
104,2353,杰瑞股份,122.5,88.25,38.81,SZ,
105,39,中集集团,13.4,9.66,38.72,SZ,
106,920014,特瑞斯,18.35,13.23,38.7,SZ,
107,600487,亨通光电,48.43,35.01,38.33,SH,通信设备
108,605117,德业股份,115.94,83.97,38.07,SH,电气设备
109,300055,万邦达,10.75,7.79,38.0,SZ,石油加工
110,2283,天润工业,10.21,7.4,37.97,SZ,
111,300991,创益通,58.37,42.38,37.73,SZ,元器件
112,300423,昇辉科技,11.22,8.15,37.67,SZ,电气设备
113,2756,永兴材料,68.88,50.15,37.35,SZ,
114,688593,新相微,34.0,24.76,37.32,SH,半导体
115,688312,燕麦科技,53.24,38.85,37.04,SH,专用机械
116,603067,振华股份,46.72,34.14,36.85,SH,化工原料
117,688087,英科再生,43.65,31.98,36.49,SH,环境保护
118,688191,智洋创新,50.28,36.88,36.33,SH,软件服务
119,2348,高乐股份,8.23,6.04,36.26,SZ,
120,603980,吉华集团,7.75,5.69,36.2,SH,染料涂料
121,603685,晨丰科技,29.13,21.4,36.12,SH,电气设备
122,688519,南亚新材,109.95,80.8,36.08,SH,元器件
123,300444,双杰电气,17.65,12.97,36.08,SZ,电气设备
124,2531,天顺风能,10.67,7.87,35.58,SZ,
125,2448,中原内配,17.91,13.22,35.48,SZ,
126,657,中钨高新,65.66,48.5,35.38,SZ,
127,2455,百川股份,12.96,9.59,35.14,SZ,
128,301217,铜冠铜箔,42.85,31.71,35.13,SZ,元器件
129,301638,南网数字,28.38,21.01,35.08,SZ,软件服务
130,600791,京能置业,8.25,6.11,35.02,SH,全国地产
131,301291,明阳电气,59.98,44.44,34.97,SZ,电气设备
132,2323,雅博股份,2.28,1.69,34.91,SZ,
133,899,赣能股份,14.53,10.77,34.91,SZ,
